crate,variant,repetition,logical_bins,total_instructions,unsafe_instructions,unsafe_instruction_pct
bstr,with_native,rep2,5,9724151338,2387398899,24.5512
bytemuck,without_native,rep1,13,135316,4615,3.4105
bytemuck,with_native,rep1,13,135316,21208,15.6729
bytemuck,without_native,rep2,13,135316,4615,3.4105
bytemuck,with_native,rep2,13,135316,21208,15.6729
byteorder,without_native,rep1,2,460743271,26240397,5.6952
byteorder,with_native,rep1,2,462072935,170618528,36.9246
byteorder,without_native,rep2,2,459932891,26190449,5.6944
byteorder,with_native,rep2,2,461113581,170225335,36.9161
bytes,without_native,rep1,11,47797678,5609961,11.7369
bytes,with_native,rep1,11,49341430,15738268,31.8967
bytes,without_native,rep2,11,47969038,5661301,11.8020
bytes,with_native,rep2,11,49391326,15774799,31.9384
cc-rs,without_native,rep1,20,70063431,2589681,3.6962
cc-rs,with_native,rep1,20,70055973,19700855,28.1216
cc-rs,without_native,rep2,20,70046657,2586933,3.6932
cc-rs,with_native,rep2,20,70060142,19702378,28.1221
chrono,without_native,rep1,5,6936344039,198863209,2.8670
chrono,with_native,rep1,5,6936381623,1048311970,15.1132
chrono,without_native,rep2,5,6936344039,198863209,2.8670
chrono,with_native,rep2,5,6936379031,1048311970,15.1132
clru,without_native,rep1,1,63992964,9400027,14.6892
clru,with_native,rep1,1,63997552,16933031,26.4589
clru,without_native,rep2,1,63996610,9400436,14.6890
clru,with_native,rep2,1,63994800,16932675,26.4595
colored,without_native,rep1,5,62389850,801996,1.2855
colored,with_native,rep1,5,62733511,9915967,15.8065
colored,without_native,rep2,5,62778209,813030,1.2951
colored,with_native,rep2,5,62678734,9917036,15.8220
combine,without_native,rep1,13,4874106041,155858864,3.1977
combine,with_native,rep1,13,4861020318,466576711,9.5983
combine,without_native,rep2,13,4863525808,155670432,3.2008
combine,with_native,rep2,13,4875427663,467949793,9.5981
cpp_demangle,without_native,rep1,6,74886702148,299756825,0.4003
cpp_demangle,with_native,rep1,6,74886702148,12928063919,17.2635
cpp_demangle,without_native,rep2,6,74886702148,299756825,0.4003
cpp_demangle,with_native,rep2,6,74886702148,12928063919,17.2635
cssparser,without_native,rep1,13,843514484,195968485,23.2324
cssparser,with_native,rep1,13,843514171,206829481,24.5200
cssparser,without_native,rep2,13,843508216,195967721,23.2325
cssparser,with_native,rep2,13,843515785,206830049,24.5200
curl,without_native,rep1,35,245215544,19566146,7.9792
curl,with_native,rep1,35,205766888,55281702,26.8662
curl,without_native,rep2,35,246336346,19728073,8.0086
curl,with_native,rep2,35,206855612,55586663,26.8722
dashmap,without_native,rep1,18,38853634,3943242,10.1490
dashmap,with_native,rep1,18,39568090,10061405,25.4281
dashmap,without_native,rep2,18,42122245,3980536,9.4500
dashmap,with_native,rep2,18,40711833,10229741,25.1272
deranged,without_native,rep1,3,10124311,183101,1.8085
deranged,with_native,rep1,3,10099540,1455971,14.4162
deranged,without_native,rep2,3,10076363,182517,1.8113
deranged,with_native,rep2,3,10111495,1456500,14.4044
dlv-list,without_native,rep1,1,520524,8394,1.6126
dlv-list,with_native,rep1,1,520524,68330,13.1272
dlv-list,without_native,rep2,1,520524,8394,1.6126
dlv-list,with_native,rep2,1,520524,68330,13.1272
ego-tree,without_native,rep1,9,872856,31412,3.5988
