crate,variant,total_heap_usage,total_heap_allocations,total_heap_reallocations,total_heap_deallocations,unsafe_heap_memory,unsafe_heap_objects,unsafe_load,unsafe_store,unsafe_heap_memory_pct,obj_small_pct,obj_medium_pct,obj_large_pct,obj_total_pct,mem_small_pct,mem_medium_pct,mem_large_pct,mem_total_pct,mem_inst_pct
httparse,with_native,766485902,34102005,65967479,34101987,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
imgref,with_native,3871278,1290,993,1290,2512,219,41,244920,0.0649,12.2896,0.0000,0.0000,9.5926,12.2896,0.0000,0.0000,1.9880,0.7781
indexmap,with_native,76234891,231806,123789,231770,47517906,111789,5156321,6823874,62.3309,28.0584,76.4666,0.0000,31.4372,28.0584,62.1889,0.0000,36.9473,1.7710
iri-string,with_native,6764115,20122,7451,20122,166931,4762,231684,216053,2.4679,18.2391,1.0309,0.0000,17.2705,18.2391,0.9867,0.0000,13.5441,1.7403
jni,with_native,49357033,2398796,1571404,2398044,16305421,1571631,540720,1576862,33.0357,39.5955,7.5472,0.0000,39.5857,39.5955,2.3457,0.0000,39.4306,0.0973
jpeg-decoder,with_native,6701970795,102455,2680,76894,4504948587,20370,6548113,4404249579,67.2183,26.5965,1.8506,3.0969,19.3751,26.5965,3.3390,4.2870,4.5435,7.8103
lexical-core,with_native,293438,2907,123,2907,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
libsecp256k1,with_native,44592935,8236,2115,8236,87494,1989,428,31276,0.1962,19.5421,0.0000,0.0000,19.2155,19.5421,0.0000,0.0000,1.8456,0.1035
log,with_native,5762107,3947,175,3947,65584,17,196671,196608,1.1382,0.0366,1.1494,0.0000,0.4124,0.0366,1.1323,0.0000,0.8655,1.0152
loom,with_native,246599850,842909,11527,841136,41149717,365834,4164623,966858,16.6868,42.8542,30.1130,7.5862,42.8158,42.8542,36.2275,7.9279,31.3621,0.5288
matrixmultiply,with_native,1081284009,23985,322,23954,159075150,10570,354375700,10963678,14.7117,33.7446,55.6416,22.5301,43.4854,33.7446,53.3993,11.3988,23.0356,2.5421
